Code,Name,Market,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region
475430,키스트론,KOSDAQ,절연선 및 케이블 제조업,"전자부품용 와이어, 케이블용 와이어 등",2025-06-02,12월,정민호,http://www.kistron.com/,경기도
487720,키움제10호스팩,KOSDAQ,금융 지원 서비스업,기업 인수합병,2024-12-20,12월,김대식,,서울특별시
489480,키움제11호스팩,KOSDAQ,금융 지원 서비스업,기업 인수합병,2024-12-11,12월,조선희,,서울특별시
039490,키움증권,KOSPI,금융 지원 서비스업,"유가증권의 매매, 위탁, 인수, 주선",2009-08-03,12월,엄주성,http://www.kiwoom.com,서울특별시
054780,키이스트,KOSDAQ,"영화, 비디오물, 방송프로그램 제작 및 배급업",멀티미디어 SI,2003-11-14,12월,조지훈,http://www.keyeast.co.kr,서울특별시
256940,킵스파마,KOSDAQ,의약품 제조업,OLED 마스크 인장기,2017-09-06,12월,김하용,http://www.kpscorp.co.kr,경기도
336040,타스컴,KONEX,의료용 기기 제조업,당뇨질환 세포치료제 / 당뇨관리 의료기기,2019-12-02,12월,이인근,http://www.yidobio.com,경기도
219130,타이거일렉,KOSDAQ,전자부품 제조업,인쇄회로기판 제조업,2015-09-25,12월,허재정,http://www.tigerelec.com,인천광역시
346010,타이드,KONEX,전자부품 제조업,"PLC모뎀, DCU",2022-12-28,12월,조경종,http://www.tidekorea.com/kr/,서울특별시
318660,타임기술,KONEX,소프트웨어 개발 및 공급업,"ILS(종합군수지원), IETM(전자식기술교범), CBT(전자식교보재), 기술번역",2021-06-24,12월,주양효,http://timett.co.kr,경상남도
476710,타조이엔터테인먼트,KONEX,창작 및 예술관련 서비스업,"공연기획, 방송·공연",2024-10-30,12월,이성호,http://tajoyent.com/,서울특별시
434190,탈로스,KONEX,일차전지 및 이차전지 제조업,군용 리튬이온 이차전지,2022-10-24,12월,채재호,http://www.talos.or.kr,경기도
336680,탑런토탈솔루션,KOSDAQ,전자부품 제조업,전장디스플레이 및 pOLED 부품,2024-11-01,12월,박영근,http://toprun.co.kr/,경상북도
360070,탑머티리얼,KOSDAQ,일차전지 및 이차전지 제조업,"이차전지 시스템 엔지니어링, 전극소재, 양극소재",2022-10-18,12월,노환진,http://www.topmaterial.co.kr,경기도
180060,탑선,KONEX,기타 전기장비 제조업,태양광 모듈,2017-10-27,12월,윤정택,http://topsun.kr,전라남도
065130,탑엔지니어링,KOSDAQ,특수 목적용 기계 제조업,LCD Cell Line 자동화 장치,2003-01-29,12월,안만호,http://www.topengnet.com,경상북도
134580,탑코미디어,KOSDAQ,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","웹툰, 만화",2013-11-26,12월,유정석,http://www.topcomedia.co.kr,서울특별시
014580,태경비케이,KOSPI,"시멘트, 석회, 플라스터 및 그 제품 제조업","생석회,소석회,석회비료 제조,판매/비금속광물 광업/산업폐기물 재생처리/휴게소 운영",1991-03-07,12월,"김민정, 정구일, 박충기 (각자 대표이사)",http://www.bkmp.co.kr,서울특별시
015890,태경산업,KOSPI,기초 화학물질 제조업,"제강용 정련제(프락스),카바이드,중질탈산칼슘 제조,판매/고속도로휴게소 운영",1996-01-30,12월,"김해련, 박충기, 김민정 (각자 대표이사)",http://www.taekyung.co.kr,서울특별시
006890,태경케미컬,KOSPI,기초 화학물질 제조업,"드라이아이스,액체탄산,고체탄산 제조",2003-01-28,12월,박기환,http://www.taekyungchem.co.kr,서울특별시
023160,태광,KOSDAQ,1차 철강 제조업,"각종 배관자재, 관이음쇠류 제조 및 판매",1994-09-07,12월,"윤원식, 윤준식",http://www.tkbend.co.kr,부산광역시
003240,태광산업,KOSPI,화학섬유 제조업,"석유화학제품(PTA,AN),화섬사,직물 등",1975-12-27,12월,유태호,http://www.taekwang.co.kr,서울특별시
011280,태림포장,KOSPI,"골판지, 종이 상자 및 종이용기 제조업","골판지,골판지상자,수출용박스 제조,도매/인쇄",1988-12-20,12월,이복진,http://www.tailim.com,경기도
323280,태성,KOSDAQ,특수 목적용 기계 제조업,PCB 자동화 설비,2019-06-24,12월,김종학,http://www.taesung2000.com,경기도
053620,태양,KOSDAQ,기타 금속 가공제품 제조업,"휴대용 부탄가스, 에어졸캔, 외주수탁품",2001-08-07,12월,현창수,http://sungroup.kr/taeyangsun/,충청남도
052960,태양3C,KONEX,자동차 부품 및 내장품 판매업,"와이어링 하네스 커넥터, 초음파 프로브 케이블",2023-01-26,12월,황창순,http://www.tae-yang.co.kr/,강원특별자치도
004100,태양금속,KOSPI,자동차 신품 부품 제조업,"자동차용 강력볼트,너트,전기전자제품용 나사,자전거부품,전해동박,도금도장설비 제조",1976-05-25,12월,한우삼. 한하워드성(각자 대표이사),http://www.taeyangmetal.com,경기도
004105,태양금속우,KOSPI,,,,,,,
116100,태양기계,KONEX,자동차 신품 부품 제조업,엔진부품,2013-07-01,12월,박경희,http://www.sun-mc.co.kr,경기도
009410,태영건설,KOSPI,토목 건설업,"종합건설업(토목공사,도로공사,건축공사,관급공사,환경공사,상하수도공사,하수종말처리공사)/부동산 임대,매매",1989-11-13,12월,"최금락, 최진국 (각자대표)",http://www.taeyoung.com,경기도
009415,태영건설우,KOSPI,,,,,,,
044490,태웅,KOSDAQ,기타 금속 가공제품 제조업,자유형단조품,2001-11-08,12월,장희상,http://www.taewoong.com,부산광역시
124560,태웅로직스,KOSDAQ,기타 운송관련 서비스업,"3자물류주선 (복합운송, 프로젝트운송, CIS운송 등)",2019-12-10,12월,Han Jae dong and Cho Yong jun (individual representative directors),http://www.e-tgl.com,서울특별시
001420,태원물산,KOSPI,자동차 신품 부품 제조업,"자동차부품,워터펌프,인산정제석고,건축자재(불연내장재), 제조,수출입",1975-06-24,12월,남기영,http://www.twms.co.kr,서울특별시
191420,테고사이언스,KOSDAQ,기초 의약물질 제조업,피부세포치료제,2014-11-06,12월,전세화,http://www.tegoscience.com,서울특별시
073640,테라사이언스,KOSDAQ,기타 금속 가공제품 제조업,유압용 관이음쇠,2004-01-06,12월,지서현,http://www.samwon-tech.com,경상남도
066700,테라젠이텍스,KOSDAQ,의약품 제조업,"Loading/Unloading System, PCB Bonding System",2004-05-27,12월,"고진업, 박시홍",http://www.thera-gen.com,경기도
095610,테스,KOSDAQ,특수 목적용 기계 제조업,반도체장비(화학증착장비),2008-05-20,12월,"주숭일, 이재호 (각자 대표이사)",http://www.hites.co.kr,경기도
055490,테이팩스,KOSPI,플라스틱제품 제조업,"OCA, 2차전지용 테이프, 산업용 랩 등",2017-10-31,12월,허지행,http://tapex.co.kr,경기도
308700,테크엔,KONEX,전구 및 조명장치 제조업,LED조명장치,2018-12-21,12월,박철,http://www.techen.co.kr,대구광역시
064520,테크엘,KOSDAQ,반도체 제조업,"메모리 카드, 스마트 카드 등",2002-12-04,12월,김재창,http://www.bec.co.kr,경기도
089030,테크윙,KOSDAQ,특수 목적용 기계 제조업,"반도체테스트핸들러,C.O.K(Change Over Kit)",2011-11-10,12월,"나윤성, 장 남 각자대표",http://techwing.co.kr,경기도
258050,테크트랜스,KONEX,기타 금속 가공제품 제조업,비철금속표면처리장비 및 솔루션,2018-07-13,12월,유재인,http://www.techtrans.co.kr,경상북도
054450,텔레칩스,KOSDAQ,반도체 제조업,"디지털미디어프로세서,발신자정보표시칩",2004-12-10,12월,이장규,http://www.telechips.com,경기도
078000,텔코웨어,KOSPI,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","소프트웨어(핵심망솔루션,무선데이터솔루션,요소기술) 개발,유지보수,무역",2004-07-20,12월,"금한태, 배성 (각자 대표이사)",http://www.telcoware.com,서울특별시
200230,텔콘RF제약,KOSDAQ,의약품 제조업,"RF 통신부품(케이블 어셈블리, 커넥터 등)",2014-11-24,12월,김지훈,http://www.telcon.co.kr,경기도
214420,토니모리,KOSPI,기타 화학제품 제조업,"스킨케어 베이직, 포인트 메이크업, 스킨케어 스페셜, 베이스 메이크업 등",2015-07-10,12월,김승철,http://www.tonymoly.com,서울특별시
393210,토마토시스템,KOSDAQ,소프트웨어 개발 및 공급업,"UI/UX솔루션, 대학정보화사업 SW",2023-04-27,12월,조길주,http://tomatosystem.co.kr/,서울특별시
475960,토모큐브,KOSDAQ,사진장비 및 광학기기 제조업,"홀로토모그래피 HT-X1, HT-2H",2024-11-07,12월,박용근,http://www.tomocube.com,대전광역시
215480,토박스코리아,KOSDAQ,"섬유, 의복, 신발 및 가죽제품 소매업",유아동 신발,2015-05-13,12월,윤여준,http://toebox.com,서울특별시
051360,토비스,KOSDAQ,영상 및 음향기기 제조업,Gaming모니터,2004-11-19,12월,"김 용 범, 하 희 조",http://www.tovism.com,인천광역시
045340,토탈소프트,KOSDAQ,소프트웨어 개발 및 공급업,해운물류소프트웨어 (CATOS 등),2002-07-19,12월,최장수,http://www.tsb.co.kr,부산광역시
108230,톱텍,KOSDAQ,특수 목적용 기계 제조업,디스플레이 자동화설비,2009-09-15,12월,정지용,http://toptec.co.kr,경상북도
079970,투비소프트,KOSDAQ,소프트웨어 개발 및 공급업,"MiPlatform, X Platform",2010-06-01,12월,김모란희 단독대표,http://www.tobesoft.com,서울특별시
199800,툴젠,KOSDAQ,자연과학 및 공학 연구개발업,유전자교정 플랫폼 관련 제품,2021-12-10,12월,유종상,http://toolgen.com,서울특별시
417790,트루엔,KOSDAQ,영상 및 음향기기 제조업,"IP 카메라, 영상스트리밍솔루션, IoT기기 및 서비스",2023-05-17,12월,안재천,http://truen.co.kr,서울특별시
290090,트윔,KOSDAQ,소프트웨어 개발 및 공급업,AI 기반 스마트팩토리 검사 소프트웨어 및 설비,2021-11-17,12월,정한섭(단독대표),http://www.twim21.com,경기도
026150,특수건설,KOSDAQ,토목 건설업,보링,1997-08-06,12월,"김중헌, 김도헌 (각자 대표이사)",http://www.tuksu.co.kr,서울특별시
464280,티디에스팜,KOSDAQ,의약품 제조업,"경피약물전달시스템(습포제, 첩부제)",2024-08-21,12월,김철준,http://www.tdspharm.com,경기도
117730,티로보틱스,KOSDAQ,특수 목적용 기계 제조업,"중대형 시스템, 중대형 로봇",2018-11-29,12월,안승욱,http://www.t-robotics.net/,경기도
033830,티비씨,KOSDAQ,텔레비전 방송업,"텔레비젼 방송,문화서비스,광고/출판,음반 제작,도매",2010-11-29,12월,김한덕,http://www.tbc.co.kr,대구광역시
057680,티사이언티픽,KOSDAQ,소프트웨어 개발 및 공급업,모바일쿠폰,2002-06-18,12월,"김상우,유승재(각자대표)",http://www.tscientific.co.kr,서울특별시
204610,티쓰리,KOSDAQ,소프트웨어 개발 및 공급업,온라인 및 모바일 게임 등,2022-11-17,12월,홍민균,http://www.t3.co.kr,서울특별시
125020,티씨머티리얼즈,KOSDAQ,절연선 및 케이블 제조업,"에나멜동선, 초고압케이블, 각동선, CTC 등",2025-05-15,12월,박혜린,,울산광역시
064760,티씨케이,KOSDAQ GLOBAL,기타 비금속 광물제품 제조업,반도체 제조공정용 고순도 흑연제품,2003-08-18,12월,"신 히데오, 오창민 (각자대표)",http://www.tck.co.kr,경기도
246710,티앤알바이오팹,KOSDAQ,기초 의약물질 제조업,"생분해성 의료기기, 3D 바이오프린팅 시스템, 바이오잉크, 3D 오가노이드, 3D 세포치료제",2018-11-28,12월,윤원수,http://www.tnrbiofab.com,경기도
340570,티앤엘,KOSDAQ,의료용품 및 기타 의약 관련제품 제조업,"창상치료재, 정형외과용 고정재",2020-11-20,12월,최윤소,http://www.tnl.co.kr/,경기도
043220,티에스넥스젠,KOSDAQ,특수 목적용 기계 제조업,"발전설비 Damper, 전력설비 Busway",2001-07-03,12월,김한국,http://www.hlbpower.com,서울특별시
277880,티에스아이,KOSDAQ,특수 목적용 기계 제조업,"2차전지 장비(믹싱시스템, 믹싱제작품, 믹싱 공사, 코터건조시스템)",2020-07-22,12월,표인식,http://taesungind.co.kr/,경기도
131290,티에스이,KOSDAQ,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","Probe Card, Test Interface Board, LED Test Equipment",2011-01-05,12월,"김철호, 김명진(각자 대표)",http://www.tse21.com,충청남도
019180,티에이치엔,KOSPI,기타 전기장비 제조업,"자동차부품(전기배선장치류) 제조,도매",1996-07-31,12월,"이광연, 채승훈",http://www.th-net.co.kr,대구광역시
425420,티에프이,KOSDAQ,전자부품 제조업,"COK, Board, Test Socket",2022-11-17,12월,문성주,http://www.tfe.co.kr,경기도
484810,티엑스알로보틱스,KOSDAQ,일반 목적용 기계 제조업,"물류자동화, 로봇자동화, AMR/AGV",2025-03-20,12월,엄인섭,http://www.txr.kr,경기도
131100,티엔엔터테인먼트,KOSDAQ,"영화, 비디오물, 방송프로그램 제작 및 배급업","연예인 매니지먼트, 계육, 식음료",2011-06-14,12월,"김동준, 윤동현(각자대표이사)",http://chorokbaemenm.com,서울특별시
356860,티엘비,KOSDAQ,전자부품 제조업,SSD Module / DRAM Module PCB,2020-12-14,12월,백성현,http://www.tlbpcb.com,경기도
413300,티엘엔지니어링,KONEX,"건축기술, 엔지니어링 및 관련 기술 서비스업",클린룸 설계 및 시공,2022-09-27,12월,서충옥,http://tleng.kr,경기도
363280,티와이홀딩스,KOSPI,기타 금융업,지주사업,2020-09-22,12월,오동헌,http://www.ty-holdings.co.kr,서울특별시
36328K,티와이홀딩스우,KOSPI,,,,,,,
